actor,films_cnt,actors_cnt
Debbie Reynolds,1,2
Deborah Kara Unger,2,6
Deborah Kerr,2,6
Debra Messing,1,3
Dee Wallace,1,3
Del Negro,1,3
Delphine Seyrig,1,3
Delroy Lindo,1,3
Demet Akbag,2,6
Demi Moore,1,3
Denholm Elliott,1,3
Deniz Baysal,1,3
Dennis Farina,1,3
Dennis Hopper,2,6
Dennis Price,1,3
Dennis Quaid,1,3
Denzel Washington,9,27
Derek Jacobi,2,6
Dev Patel,2,6
Dexter Fletcher,1,3
Dharmendra,1,3
Diahnne Abbott,1,3
Diane Keaton,6,14
Diane Kruger,3,9
Diane Ladd,1,3
Diane Venora,1,3
Dianne Wiest,3,9
Dibyendu Bhattacharya,1,3
Dick Hogan,1,3
Dick Van Dyke,1,3
Dick York,1,3
Diego Cortina Autrey,1,3
Diego Luna,1,3
Diego Starosta,1,3
Diljit Dosanjh,1,3
Disha Patani,1,3
Dita Parlo,1,3
Djimon Hounsou,2,6
Doga Zeynep Doguslu,1,3
Dolly Ahluwalia,1,3
Dolores Moran,1,3
Domhnall Gleeson,4,11
Dominic West,2,6
Dominique Blanchar,1,3
Dominique McElligott,1,3
Dominique Pinon,2,6
Don Cheadle,2,6
Don Gordon,1,3
Don Hall,1,3
Don Rickles,2,6
Don Taylor,1,3
Donald O'Connor,1,2
Donald Pleasence,1,3
Donald Sutherland,3,9
Donatas Banionis,1,3
Donna Murphy,1,3
Donna Reed,2,6
Donnie Yen,2,6
Donny Alamsyah,1,3
Dorian Gray,1,3
Dorothy Comingore,1,3
Dorothy Duffy,1,3
Dorsey Wright,1,3
Doug McKeon,1,3
Douglas Booth,1,3
Drew Barrymore,1,3
Duane Jones,1,3
Dustin Hoffman,6,18
Dwight Yoakam,1,3
Dylan Baker,1,3
Ed Harris,6,18
Ed Helms,1,3
Ed Skrein,1,3
Eddie Albert,1,3
Eddie Murphy,2,6
Eddie Redmayne,2,6
Edgar Ramírez,1,3
Edmond O'Brien,2,6
Edmund Goulding,1,3
Edmund Gwenn,1,3
Edna Purviance,1,3
Edoardo Leo,1,3
Eduard Abalov,1,3
Eduardo Noriega,1,3
Edward Arnold,1,3
Edward Asner,1,3
Edward Burns,1,3
Edward Fox,1,3
Edward Furlong,2,6
Edward G. Robinson,3,9
Edward James Olmos,1,3
Edward Norton,7,21
Efrem Zimbalist Jr.,1,3
Ege Tanman,1,3
Eiji Okada,1,3
Eijirô Tôno,1,3
Eiko Masuyama,1,3
Eileen Walsh,1,3
Eiza González,1,3
Eleanor Bron,1,3
Eleanor David,1,3
Eleanor Parker,1,3
Elena Altieri,1,3
Elena Anaya,1,3
Elena Lyadova,1,3
Eli Marienthal,1,3
Eli Roth,1,3
Eli Wallach,2,6
Elijah Smith,1,3
Elijah Wood,3,4
Elisabeth Shue,1,3
Elissa Knight,1,3
Elit Iscan,1,3
Eliza Scanlen,1,3
Elizabeth Banks,1,3
Elizabeth Berridge,1,3
